"filename", "language", "JSON", "XML", "Markdown", "Batch", "TypeScript", "HTML", "SCSS", "JSON with Comments", "C#", "comment", "blank", "total"
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Infrastructure\Services\CloudinaryService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 44, 1, 10, 55
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Infrastructure\Services\CurrentUserService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 4, 36
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\backend\TaviLi.Infrastructure\TaviLi.Infrastructure.csproj", "XML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\README.md", "Markdown", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 24, 60
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\angular.json", "JSON", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\package-lock.json", "JSON", 10165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10166
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\package.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\public\assets\favicon.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 3, 18
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\app.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\app.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\app.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\guards\role.guard.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 5, 26
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\interceptors\auth.interceptor.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\layout\navbar\navbar.html", "HTML", 0, 0, 0, 0, 0, 88, 0, 0, 0, 9, 5, 102
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\layout\navbar\navbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 103, 0, 0, 4, 15, 122
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\layout\navbar\navbar.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\layout\navbar\navbar.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 6, 34
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\models\mission.model.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 4, 48
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\models\user.model.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\services\api.service.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\services\auth.service.ts", "TypeScript", 0, 0, 0, 0, 68, 0, 0, 0, 0, 8, 18, 94
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\services\image-compression.service.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 2, 8, 58
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\services\mission.service.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 12, 64
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\core\services\notification.service.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 0, 0, 5, 7, 68
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\auth\auth.routes.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\auth\login\login.html", "HTML", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 9, 67
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\auth\login\login.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\auth\login\login.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\auth\login\login.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 5, 47
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\auth\register\register.html", "HTML", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 10, 81
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\auth\register\register.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\auth\register\register.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\auth\register\register.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 3, 7, 59
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\components\mission-details-modal\mission-details-modal.html", "HTML", 0, 0, 0, 0, 0, 82, 0, 0, 0, 8, 12, 102
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\components\mission-details-modal\mission-details-modal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 229, 0, 0, 11, 34, 274
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\components\mission-details-modal\mission-details-modal.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\components\mission-filter\mission-filter.html", "HTML", 0, 0, 0, 0, 0, 39, 0, 0, 0, 5, 7, 51
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\components\mission-filter\mission-filter.scss", "SCSS", 0, 0, 0, 0, 0, 0, 146, 0, 0, 11, 24, 181
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\components\mission-filter\mission-filter.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 8, 52
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\components\mission-requests-modal\mission-requests-modal.html", "HTML", 0, 0, 0, 0, 0, 68, 0, 0, 0, 3, 6, 77
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\components\mission-requests-modal\mission-requests-modal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 94, 0, 0, 2, 12, 108
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\components\mission-requests-modal\mission-requests-modal.ts", "TypeScript", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 10, 74
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\mission-dashboard\mission-dashboard.html", "HTML", 0, 0, 0, 0, 0, 124, 0, 0, 0, 4, 15, 143
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\mission-dashboard\mission-dashboard.scss", "SCSS", 0, 0, 0, 0, 0, 0, 75, 0, 0, 7, 12, 94
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\mission-dashboard\mission-dashboard.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\mission-dashboard\mission-dashboard.ts", "TypeScript", 0, 0, 0, 0, 120, 0, 0, 0, 0, 9, 23, 152
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\mission-form\mission-form.html", "HTML", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 11, 99
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\mission-form\mission-form.scss", "SCSS", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 5, 43
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\mission-form\mission-form.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\mission-form\mission-form.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 4, 9, 64
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\missions.routes.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\my-created-missions\my-created-missions.html", "HTML", 0, 0, 0, 0, 0, 141, 0, 0, 0, 3, 16, 160
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\my-created-missions\my-created-missions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 4, 30
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\my-created-missions\my-created-missions.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\my-created-missions\my-created-missions.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 8, 53
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\my-missions\my-missions.html", "HTML", 0, 0, 0, 0, 0, 185, 0, 0, 0, 7, 12, 204
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\my-missions\my-missions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 4, 30
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\my-missions\my-missions.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\missions\my-missions\my-missions.ts", "TypeScript", 0, 0, 0, 0, 74, 0, 0, 0, 0, 3, 10, 87
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\user\user-module.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\user\user-routing-module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\users\profile\profile.html", "HTML", 0, 0, 0, 0, 0, 96, 0, 0, 0, 4, 11, 111
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\users\profile\profile.scss", "SCSS", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 8, 79
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\features\users\profile\profile.ts", "TypeScript", 0, 0, 0, 0, 147, 0, 0, 0, 0, 11, 25, 183
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\shared\pipes\mission-status.pipe.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\app\shared\pipes\package-size.pipe.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 3, 25
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\index.html", "HTML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\main.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\src\styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 124, 0, 0, 29, 22, 175
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\tsconfig.app.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 16
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 31, 0, 2, 1, 34
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\client\tsconfig.spec.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 15
"c:\Users\asdfg\OneDrive\Desktop\TaviLi\seed_db.bat", "Batch", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 1, 9
"Total", "-", 10390, 70, 36, 6, 1340, 1061, 930, 31, 2782, 332, 1155, 18133